数据库验证信息
时间: 2026-07-25 11:56:34

表统计:
admin_action_logs: 0 行
admin_extension_histories: 0 行
admin_extensions: 0 行
admin_grid_views: 0 行
admin_menu: 119 行
admin_permission_menu: 0 行
admin_permissions: 6 行
admin_role_menu: 0 行
admin_role_permissions: 0 行
admin_role_users: 1 行
admin_roles: 1 行
admin_settings: 0 行
admin_users: 1 行
ai_conversations: 0 行
ai_images: 0 行
ai_provider_models: 0 行
ai_providers: 0 行
ai_test_results: 0 行
ai_tests: 0 行
application_configs: 0 行
application_continuous_times: 0 行
application_dict: 21 行
application_system_logs: 0 行
article_cates: 0 行
articles: 0 行
benchmark: 0 行
cache: 6 行
cache_locks: 0 行
cleanup_backup_files: 0 行
cleanup_backups: 0 行
cleanup_configs: 3 行
cleanup_logs: 0 行
cleanup_plan_contents: 1 行
cleanup_plans: 2 行
cleanup_sql_backups: 0 行
cleanup_table_stats: 0 行
cleanup_tasks: 0 行
demo5_comments: 85 行
demo5_posts: 10 行
demo5_users: 5 行
energy_data_monthly: 0 行
energy_data_peak_valley: 0 行
energy_data_yearly: 0 行
energy_price_relevancy: 0 行
energy_price_tactics: 0 行
energy_price_tactics_item: 0 行
energy_saving_project: 0 行
enterprise_companies: 4 行
enterprise_customers: 0 行
enterprise_depts: 6 行
enterprise_standards: 2 行
enterprise_suppliers: 0 行
failed_jobs: 0 行
feature_blacklist: 0 行
feature_whitelist: 0 行
features: 0 行
file_files: 0 行
file_imgs: 0 行
file_storage_config_histories: 0 行
file_storage_configs: 2 行
file_template: 0 行
job_batches: 0 行
job_runs: 522 行
jobs: 0 行
merchant2_expiration_logs: 2 行
merchant2_menu_diy: 0 行
merchant2_menus: 81 行
merchant2_merchant_plans: 2 行
merchant2_merchants: 4 行
merchant2_operation_logs: 0 行
merchant2_plans: 5 行
merchant2_role_menus: 0 行
merchant2_roles: 1 行
merchant2_user_roles: 4 行
merchant2_users: 9 行
migrations: 160 行
notifications: 0 行
nt_carbon_daily_aggregate: 0 行
nt_carbon_emission: 0 行
nt_carbon_factor: 0 行
nt_carbon_footprint: 0 行
nt_carbon_footprint_detail: 0 行
nt_carbon_monthly_aggregate: 0 行
nt_carbon_quota: 0 行
nt_carbon_reduction: 0 行
nt_carbon_report: 0 行
nt_carbon_scheme: 0 行
nt_carbon_scheme_item: 0 行
nt_carbon_trade: 0 行
nt_emission_fluids: 1 行
nt_emission_records: 0 行
nt_emission_sources: 0 行
nt_emission_summaries: 0 行
nt_energy_bills: 0 行
nt_energy_budgets: 0 行
nt_energy_categories: 0 行
nt_energy_cm_ele: 0 行
nt_energy_cm_fuel: 3 行
nt_energy_cm_heat: 0 行
nt_energy_cm_medium: 0 行
nt_energy_cost_records: 0 行
nt_energy_cost_statistics: 0 行
nt_energy_data_daily: 0 行
nt_energy_data_hourly: 0 行
nt_energy_formula_params: 0 行
nt_energy_formulas: 0 行
nt_energy_items: 0 行
nt_energy_peak_valley_items: 0 行
nt_energy_peak_valley_schemes: 0 行
nt_energy_receipts: 7 行
nt_energy_sy_ele: 1 行
nt_energy_sy_energy: 0 行
nt_energy_sy_heat: 18 行
nt_energy_tariff_time_of_uses: 0 行
nt_energy_tariffs: 0 行
nt_factors: 4 行
nt_material_categories: 4 行
nt_material_monthlies: 0 行
nt_material_records: 0 行
nt_materials: 0 行
nt_production_process_categories: 12 行
nt_production_process_data: 0 行
nt_production_processes: 78 行
nt_production_product_categories: 4 行
nt_production_product_data: 26 行
nt_production_products: 2 行
nt_report_file: 0 行
nt_report_task: 0 行
nt_report_template: 0 行
nt_stat_config: 0 行
nt_stat_data: 0 行
nt_stat_indicator: 0 行
personal_access_tokens: 0 行
point: 0 行
point_admin: 0 行
point_circulation: 0 行
point_config: 2 行
point_currency: 2 行
point_logs: 0 行
point_order: 0 行
point_transfer: 0 行
product: 0 行
product_output: 0 行
sessions: 8 行
user_feature_settings: 0 行
